id,name,slug,logo,date_launched,notice,weekly_visits,spot_volume_usd
209,Kuna,kuna,https://s2.coinmarketcap.com/static/img/exchanges/64x64/209.png,2016-03-12T00:00:00.000Z,,26222.0,3882999.35445964
213,Mercatox,mercatox,https://s2.coinmarketcap.com/static/img/exchanges/64x64/213.png,2015-10-12T00:00:00.000Z,,2623.0,10584510.54067391
215,P2B,p2b,https://s2.coinmarketcap.com/static/img/exchanges/64x64/215.png,2018-01-01T00:00:00.000Z,,2366695.0,1027178365.495052
219,Tidex,tidex,https://s2.coinmarketcap.com/static/img/exchanges/64x64/219.png,2017-10-18T00:00:00.000Z,,521.0,261149101.72953644
223,FreiExchange,freiexchange,https://s2.coinmarketcap.com/static/img/exchanges/64x64/223.png,2016-12-20T00:00:00.000Z,,1562.0,2406.09261497
224,BTC Markets,btc-markets,https://s2.coinmarketcap.com/static/img/exchanges/64x64/224.png,2013-11-22T00:00:00.000Z,,71652.0,2064173.97920893
225,Paribu,paribu,https://s2.coinmarketcap.com/static/img/exchanges/64x64/225.png,2017-02-14T00:00:00.000Z,,210221.0,68899858.62353924
8418,APX v2 (BSC),apollox-v2-bsc,https://s2.coinmarketcap.com/static/img/exchanges/64x64/8418.png,2023-08-27T00:00:00.000Z,,625.0,
228,BTC-Alpha,btc-alpha,https://s2.coinmarketcap.com/static/img/exchanges/64x64/228.png,2016-03-01T00:00:00.000Z,,75782.0,335084971.13176006
243,BtcTurk | Kripto,btcturk-kripto,https://s2.coinmarketcap.com/static/img/exchanges/64x64/243.png,2013-07-02T00:00:00.000Z,,67158.0,75170067.67992516
246,WX Network,waves-exchange,https://s2.coinmarketcap.com/static/img/exchanges/64x64/246.png,2016-06-01T00:00:00.000Z,,6187.0,4581.02659507
248,Koinim,koinim,https://s2.coinmarketcap.com/static/img/exchanges/64x64/248.png,2013-04-01T00:00:00.000Z,,232.0,50.51888158
249,StellarTerm,stellar-decentralized-exchange,https://s2.coinmarketcap.com/static/img/exchanges/64x64/249.png,2017-07-01T00:00:00.000Z,,2921.0,784873.54062243
6394,Solidly (Ethereum),solidly-ethereum,https://s2.coinmarketcap.com/static/img/exchanges/64x64/6394.png,,,74.0,1608729.50495185
250,Buda,buda,https://s2.coinmarketcap.com/static/img/exchanges/64x64/250.png,2015-04-21T00:00:00.000Z,,34046.0,256204.32172898
252,BTC Trade UA,btc-trade-ua,https://s2.coinmarketcap.com/static/img/exchanges/64x64/252.png,2014-05-01T00:00:00.000Z,,5820.0,1637.18663874
253,LocalTrade,localtrade,https://s2.coinmarketcap.com/static/img/exchanges/64x64/253.png,2017-11-04T00:00:00.000Z,,528.0,38543848.10095467
257,Bitbank,bitbank,https://s2.coinmarketcap.com/static/img/exchanges/64x64/257.png,2014-05-07T00:00:00.000Z,,129268.0,13846690.84011606
258,Mercado Bitcoin,mercado-bitcoin,https://s2.coinmarketcap.com/static/img/exchanges/64x64/258.png,2013-06-12T00:00:00.000Z,,189123.0,2430074.47941779
261,Altcoin Trader,altcoin-trader,https://s2.coinmarketcap.com/static/img/exchanges/64x64/261.png,2014-07-01T00:00:00.000Z,,58330.0,794315.77358598
6406,Bitlo,bitlo,https://s2.coinmarketcap.com/static/img/exchanges/64x64/6406.png,2018-06-04T00:00:00.000Z,,66213.0,2733711.51264148
6407,THENA FUSION,thena-v2,https://s2.coinmarketcap.com/static/img/exchanges/64x64/6407.png,2023-04-14T00:00:00.000Z,,11804.0,10956809.00636976
267,Bancor Network,bancor-network,https://s2.coinmarketcap.com/static/img/exchanges/64x64/267.png,2017-01-01T00:00:00.000Z,,1295.0,290910.59592819
270,Binance,binance,https://s2.coinmarketcap.com/static/img/exchanges/64x64/270.png,2017-07-14T00:00:00.000Z,,10403969.0,7843063945.133545
6420,ApeSwap (Arbitrum),apeswap-arbitrum,https://s2.coinmarketcap.com/static/img/exchanges/64x64/6420.png,,,192.0,106.23571366
294,OKX,okx,https://s2.coinmarketcap.com/static/img/exchanges/64x64/294.png,2017-01-03T00:00:00.000Z,,4121684.0,1151473770.4705248
6444,Uniswap v3 (BSC),uniswap-bsc,https://s2.coinmarketcap.com/static/img/exchanges/64x64/6444.png,,,626539.0,9779767.5791507
302,Gate.io,gate-io,https://s2.coinmarketcap.com/static/img/exchanges/64x64/302.png,2013-01-01T00:00:00.000Z,,5665954.0,792674020.7821412
311,KuCoin,kucoin,https://s2.coinmarketcap.com/static/img/exchanges/64x64/311.png,2017-08-13T00:00:00.000Z,,1305213.0,424038712.2540347
10557,Raydium (CLMM),raydium-clmm,https://s2.coinmarketcap.com/static/img/exchanges/64x64/10557.png,,,225952.0,74549051.17684422
8511,ICDex,icdex,https://s2.coinmarketcap.com/static/img/exchanges/64x64/8511.png,2022-09-30T00:00:00.000Z,,2765.0,29171.59087587
8513,Sonic,sonic,https://s2.coinmarketcap.com/static/img/exchanges/64x64/8513.png,2021-10-31T00:00:00.000Z,,197.0,86499.47808433
321,Coinut,coinut,https://s2.coinmarketcap.com/static/img/exchanges/64x64/321.png,2013-11-23T00:00:00.000Z,,204.0,710.3360713
325,Orbix,satang-pro,https://s2.coinmarketcap.com/static/img/exchanges/64x64/325.png,2017-11-01T00:00:00.000Z,Satang pro has been rebranded to Orbix.,8476.0,391048.37708292
2373,Verse,verse,https://s2.coinmarketcap.com/static/img/exchanges/64x64/2373.png,,,37922.0,6392.47781174
6472,Flipster,flipster,https://s2.coinmarketcap.com/static/img/exchanges/64x64/6472.png,2020-12-31T00:00:00.000Z,,49484.0,78057.546591
8521,Aerodrome Finance,aerodrome-finance,https://s2.coinmarketcap.com/static/img/exchanges/64x64/8521.png,2023-08-27T00:00:00.000Z,,150299.0,10040302.43916542
330,BigONE,bigone,https://s2.coinmarketcap.com/static/img/exchanges/64x64/330.png,2017-06-24T00:00:00.000Z,,1555695.0,267593368.0635861
333,LBank,lbank,https://s2.coinmarketcap.com/static/img/exchanges/64x64/333.png,2016-10-01T00:00:00.000Z,,2570627.0,970462202.8602834
