id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,market_cap
2010,Cardano,ADA,cardano,1242,2017-10-01T00:00:00.000Z,"dpos, pos, platform, research, smart-contracts, staking, cardano-ecosystem, cardano, layer-1, sec-security-token, alleged-sec-securities",45000000000.0,35960643044.11,37170426657.961,,11,2024-09-11T22:16:00.000Z,0.3474087196054354,236723237.41919476,0.01611552,1.23465706,6.52629727,12493040956.142363
5805,Avalanche,AVAX,avalanche,773,2020-07-13T00:00:00.000Z,"defi, smart-contracts, three-arrows-capital-portfolio, polychain-capital-portfolio, avalanche-ecosystem, cms-holdings-portfolio, dragonfly-capital-portfolio, real-world-assets, layer-1",715748719.0,405320937.46451026,445324037.46451026,,12,2024-09-11T22:16:00.000Z,23.420740518861997,240266698.94914052,-0.22759711,-4.12537406,6.01667578,9492916503.218185
5994,Shiba Inu,SHIB,shiba-inu,868,2020-08-01T00:00:00.000Z,"memes, ethereum-ecosystem, doggone-doggerel",,589269571134459.5,589518455775965.9,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce'}",13,2024-09-11T22:16:00.000Z,1.3265142343093398e-05,151405445.7461993,-0.02474509,-2.13169992,-1.77103836,7816744739.552206
1831,Bitcoin Cash,BCH,bitcoin-cash,919,2017-07-23T00:00:00.000Z,"mineable, pow, sha-256, marketplace, medium-of-exchange, store-of-value, enterprise-solutions, payments, bitcoin-ecosystem, layer-1",21000000.0,19759590.625,19759590.625,,14,2024-09-11T22:16:00.000Z,336.3189471689071,201872648.35431585,-0.39753075,2.05437663,6.38574677,6645524715.488606
1975,Chainlink,LINK,chainlink,1838,2017-09-20T00:00:00.000Z,"platform, defi, oracles, smart-contracts, substrate, polkadot, avalanche-ecosystem, solana-ecosystem, framework-ventures-portfolio, polygon-ecosystem, fantom-ecosystem, cardano-ecosystem, web3, near-protocol-ecosystem, arbitrum-ecosytem, cardano, injective-ecosystem, optimism-ecosystem, real-world-assets, celsius-bankruptcy-estate",,608099970.4527867,1000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x514910771af9ca656af840dff83e8264ecf986ca'}",15,2024-09-11T22:16:00.000Z,10.42312645647766,198756208.0470137,-0.03437093,-1.67376442,0.0351815,6338302890.209723
6636,Polkadot,DOT,polkadot-new,809,2020-08-19T00:00:00.000Z,"substrate, polkadot, polkadot-ecosystem, three-arrows-capital-portfolio, polychain-capital-portfolio, arrington-xrp-capital-portfolio, blockchain-capital-portfolio, boostvc-portfolio, cms-holdings-portfolio, coinfund-portfolio, fabric-ventures-portfolio, fenbushi-capital-portfolio, hashkey-capital-portfolio, kenetic-capital-portfolio, 1confirmation-portfolio, placeholder-ventures-portfolio, pantera-capital-portfolio, exnetwork-capital-portfolio, web3, spartan-group, layer-1",,1492235693.576114,1492235693.576114,,16,2024-09-11T22:16:00.000Z,4.168130178095797,102328178.6532773,0.19009321,-1.94588294,-0.27080813,6219832627.226314
4943,Dai,DAI,multi-collateral-dai,3372,2019-11-22T00:00:00.000Z,"defi, stablecoin, asset-backed-stablecoin, ethereum-ecosystem, avalanche-ecosystem, polygon-ecosystem, fantom-ecosystem, arbitrum-ecosytem, harmony-ecosystem, moonriver-ecosystem, bnb-chain, usd-stablecoin, optimism-ecosystem",,5365382702.664872,5365382702.664872,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6b175474e89094c44da98b954eedeac495271d0f'}",17,2024-09-11T22:16:00.000Z,1.0000334985627382,135979175.9944603,-0.00205427,0.00874876,0.01582741,5365562435.273952
3957,UNUS SED LEO,LEO,unus-sed-leo,48,2019-05-21T00:00:00.000Z,"marketplace, centralized-exchange, discount-token, payments, kenetic-capital-portfolio, alameda-research-portfolio",,925495734.9,985239504.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3'}",18,2024-09-11T22:16:00.000Z,5.551492627881881,2287230.00651584,-2.29439783,0.36763223,-3.32445574,5137882749.433474
2,Litecoin,LTC,litecoin,1228,2013-04-28T00:00:00.000Z,"mineable, pow, scrypt, medium-of-exchange",84000000.0,74963631.1066697,84000000.0,,19,2024-09-11T22:17:00.000Z,62.186920544022364,303923838.1485154,0.58905957,0.87818735,-5.27463621,4661757371.321872
6535,NEAR Protocol,NEAR,near-protocol,443,2020-08-11T00:00:00.000Z,"platform, ai-big-data, staking, coinbase-ventures-portfolio, three-arrows-capital-portfolio, arrington-xrp-capital-portfolio, coinfund-portfolio, electric-capital-portfolio, fabric-ventures-portfolio, kenetic-capital-portfolio, near-protocol-ecosystem, cross-chain, injective-ecosystem, circle-ventures-portfolio, layer-1, sec-security-token, alleged-sec-securities, account-abstraction, data-availability",,1124270296.0,1209817617.0,,20,2024-09-11T22:16:00.000Z,3.9824761458590006,208704478.9754641,-0.13197817,-1.38145488,1.80312428,4477379635.317838
