crypto_id,exchange_id,exchange_name,exchange_slug
31355,[1342],['Raydium'],['raydium']
31356,[1344],['PancakeSwap v2 (BSC)'],['pancakeswap-v2']
31357,[1342],['Raydium'],['raydium']
31360,"[9298, 1612, 1342]","['BiKing', 'Jupiter', 'Raydium']","['biking', 'jupiter', 'raydium']"
31382,"[1612, 1342]","['Jupiter', 'Raydium']","['jupiter', 'raydium']"
31387,"[1612, 1342]","['Jupiter', 'Raydium']","['jupiter', 'raydium']"
31388,"[1612, 1342]","['Jupiter', 'Raydium']","['jupiter', 'raydium']"
3139,"[302, 477]","['Gate.io', 'ProBit Global']","['gate-io', 'probit-exchange']"
31391,[1344],['PancakeSwap v2 (BSC)'],['pancakeswap-v2']
31393,"[1612, 1426, 1342]","['Jupiter', 'Orca', 'Raydium']","['jupiter', 'orca', 'raydium']"
31394,[1069],['Uniswap v2'],['uniswap-v2']
31397,"[1064, 453, 350, 7791, 8521, 9391, 7779]","['BingX', 'AscendEX (BitMax)', 'CoinEx', 'Uniswap v3 (Base)', 'Aerodrome Finance', 'Uniswap v2 (Base)', 'RocketSwap']","['bingx', 'ascendex', 'coinex', 'uniswap-v3-base', 'aerodrome-finance', 'uniswap-v2-base', 'rocketswap']"
3140,"[477, 100]","['ProBit Global', 'YoBit']","['probit-exchange', 'yobit']"
31401,"[9298, 544, 1348]","['BiKing', 'MEXC', 'Uniswap v3 (Ethereum)']","['biking', 'mexc', 'uniswap-v3']"
31404,"[1612, 1342]","['Jupiter', 'Raydium']","['jupiter', 'raydium']"
31406,[1342],['Raydium'],['raydium']
31407,"[16, 1342]","['Poloniex', 'Raydium']","['poloniex', 'raydium']"
31411,"[9450, 9665, 1612, 1426, 1342]","['Zedxion Exchange', 'ZKE', 'Jupiter', 'Orca', 'Raydium']","['zedxion-exchange', 'zke', 'jupiter', 'orca', 'raydium']"
31414,[544],['MEXC'],['mexc']
31463,"[1064, 544]","['BingX', 'MEXC']","['bingx', 'mexc']"
31496,"[406, 544, 1344]","['BitMart', 'MEXC', 'PancakeSwap v2 (BSC)']","['bitmart', 'mexc', 'pancakeswap-v2']"
31504,"[7680, 21, 521, 9867, 294, 333, 513, 6637, 943, 5751, 9298, 433, 9218, 406, 1064, 1645, 10153, 9450, 525, 302, 544, 5319, 311, 6472, 9717, 955, 24, 453, 350, 10846, 9217, 6706, 440, 622]","['DOEX', 'BTCC', 'Bybit', 'KCEX', 'OKX', 'LBank', 'Bitget', 'BloFin', 'Hotcoin', 'WEEX', 'BiKing', 'Bitrue', 'Hibt', 'BitMart', 'BingX', 'Tapbit', 'Ourbit', 'Zedxion Exchange', 'XT.COM', 'Gate.io', 'MEXC', 'SuperEx', 'KuCoin', 'Flipster', 'Koinbay', 'Phemex', 'Kraken', 'AscendEX (BitMax)', 'CoinEx', 'TNNS PROX', 'GroveX', 'PancakeSwap v3 (BSC)', 'Cryptology', 'NovaDAX']","['doex', 'btcc', 'bybit', 'kcex', 'okx', 'lbank', 'bitget', 'blofin', 'hotcoin-global', 'weex', 'biking', 'bitrue', 'hibt', 'bitmart', 'bingx', 'tapbit', 'ourbit', 'zedxion-exchange', 'xt', 'gate-io', 'mexc', 'superex', 'kucoin', 'flipster', 'koinbay', 'phemex', 'kraken', 'ascendex', 'coinex', 'tnns-prox', 'grovex', 'pancakeswap-v3', 'cryptology', 'novadax']"
31510,"[521, 9867, 333, 5751, 6637, 513, 1653, 9298, 517, 9218, 406, 1064, 10153, 102, 9450, 525, 302, 544, 5319, 937, 9717, 350, 10846, 16, 1612, 1426, 10557, 9882, 1342, 9883, 622, 5344, 10403, 9452]","['Bybit', 'KCEX', 'LBank', 'WEEX', 'BloFin', 'Bitget', 'ZOOMEX', 'BiKing', 'CoinW', 'Hibt', 'BitMart', 'BingX', 'Ourbit', 'HTX', 'Zedxion Exchange', 'XT.COM', 'Gate.io', 'MEXC', 'SuperEx', 'Biconomy.com', 'Koinbay', 'CoinEx', 'TNNS PROX', 'Poloniex', 'Jupiter', 'Orca', 'Raydium (CLMM)', 'Meteora VD', 'Raydium', 'Meteora VP', 'NovaDAX', 'Coins.ph', 'Raydium (CPMM)', 'Backpack Exchange']","['bybit', 'kcex', 'lbank', 'weex', 'blofin', 'bitget', 'zoomex', 'biking', 'coinw', 'hibt', 'bitmart', 'bingx', 'ourbit', 'htx', 'zedxion-exchange', 'xt', 'gate-io', 'mexc', 'superex', 'biconomy', 'koinbay', 'coinex', 'tnns-prox', 'poloniex', 'jupiter', 'orca', 'raydium-clmm', 'meteora-vd', 'raydium', 'meteora-vp', 'novadax', 'coins-pro', 'raydium-cpmm', 'backpack-exchange']"
31543,"[521, 513, 406, 102, 302, 544, 5319, 311, 350, 9365, 949]","['Bybit', 'Bitget', 'BitMart', 'HTX', 'Gate.io', 'MEXC', 'SuperEx', 'KuCoin', 'CoinEx', 'AlphaX', 'CoinDCX']","['bybit', 'bitget', 'bitmart', 'htx', 'gate-io', 'mexc', 'superex', 'kucoin', 'coinex', 'alphax', 'coindcx']"
3155,"[270, 21, 10361, 521, 1188, 9867, 9202, 333, 6137, 5751, 6637, 513, 943, 1133, 1149, 433, 406, 1064, 1247, 8885, 1645, 10153, 501, 7085, 7302, 9450, 525, 790, 302, 544, 311, 89, 9015, 955, 24, 453, 350, 339, 7850, 477, 10109, 1117, 9217, 415, 1411, 9665, 380, 9365, 1131, 1561, 7451, 1348, 520, 699, 154, 42, 225, 500, 1199, 243, 1069, 125, 3735, 151, 1531, 9384, 9108, 436, 487, 7748, 68, 7373, 622, 710, 36, 9662, 630, 949, 599, 1215, 6406, 657, 363, 488, 267, 378, 425]","['Binance', 'BTCC', 'CoinUp.io', 'Bybit', 'BYDFi', 'KCEX', '4E', 'LBank', 'Toobit', 'WEEX', 'BloFin', 'Bitget', 'Hotcoin', 'TruBit Pro Exchange', 'Crypto.com Exchange', 'Bitrue', 'BitMart', 'BingX', 'FameEX', 'UEEx', 'Tapbit', 'Ourbit', 'WhiteBIT', 'Fairdesk', 'Bitunix', 'Zedxion Exchange', 'XT.COM', 'Pionex', 'Gate.io', 'MEXC', 'KuCoin', 'Coinbase Exchange', 'Websea', 'Phemex', 'Kraken', 'AscendEX (BitMax)', 'CoinEx', 'Bibox', 'Bitcastle', 'ProBit Global', 'Niza Global', 'Azbit', 'GroveX', 'Bilaxy', 'Coinstore', 'ZKE', 'LATOKEN', 'AlphaX', 'Bitcoiva', 'Bit2Me', 'CoinCatch', 'Uniswap v3 (Ethereum)', 'Bitvavo', 'Currency.com', 'Dex-Trade', 'HitBTC', 'Paribu', 'Tokenize Xchange', 'PointPay', 'BtcTurk | Kripto', 'Uniswap v2', 'Bitso', 'ICRYPEX', 'Gemini', 'NexDAX', 'BitDelta', 'ChangeNOW', 'Bitkub', 'VinDAX', 'Topcredit Int', 'Indodax', 'Koinpark', 'NovaDAX', 'Tokocrypto', 'CEX.IO', 'Binance TH', 'Binance.US', 'CoinDCX', 'BankCEX', 'Foxbit', 'Bitlo', 'CoinJar', 'Fatbtc', 'Coinmetro', 'Bancor Network', 'Unocoin', 'WazirX']","['binance', 'btcc', 'coinup-io', 'bybit', 'bydfi', 'kcex', '4e', 'lbank', 'toobit', 'weex', 'blofin', 'bitget', 'hotcoin-global', 'trubit-exchange', 'crypto-com-exchange', 'bitrue', 'bitmart', 'bingx', 'fameex', 'ueex', 'tapbit', 'ourbit', 'whitebit', 'fairdesk', 'bitunix', 'zedxion-exchange', 'xt', 'pionex', 'gate-io', 'mexc', 'kucoin', 'coinbase-exchange', 'websea', 'phemex', 'kraken', 'ascendex', 'coinex', 'bibox', 'bitcastle', 'probit-exchange', 'niza-global', 'azbit', 'grovex', 'bilaxy', 'coinstore', 'zke', 'latoken', 'alphax', 'bitcoiva', 'bit2me', 'coincatch', 'uniswap-v3', 'bitvavo', 'currency-com', 'dex-trade', 'hitbtc', 'paribu', 'tokenize-xchange', 'pointpay', 'btcturk-kripto', 'uniswap-v2', 'bitso', 'icrypex', 'gemini', 'nexdax', 'bitdelta', 'changenow', 'bitkub', 'vindax', 'topcredit-int', 'indodax', 'koinpark', 'novadax', 'tokocrypto', 'cex-io', 'binance-th', 'binance-us', 'coindcx', 'bankcex', 'foxbit', 'bitlo', 'coinjar', 'fatbtc', 'coinmetro', 'bancor-network', 'unocoin', 'wazirx']"
31561,"[1612, 1426, 9882, 1342, 9883]","['Jupiter', 'Orca', 'Meteora VD', 'Raydium', 'Meteora VP']","['jupiter', 'orca', 'meteora-vd', 'raydium', 'meteora-vp']"
31569,"[406, 16, 1069]","['BitMart', 'Poloniex', 'Uniswap v2']","['bitmart', 'poloniex', 'uniswap-v2']"
